hour,vehicles_count,greens,status
0,"{1: 44.0, 2: 14.0, 3: 12.0, 4: 7.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
1,"{1: 37.0, 2: 13.0, 3: 9.0, 4: 6.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
2,"{1: 32.0, 2: 12.0, 3: 8.0, 4: 5.0}","{1: 48, 2: 6, 3: 6, 'status': 'SUCCESS'}",SUCCESS
3,"{1: 27.0, 2: 10.0, 3: 7.0, 4: 4.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
4,"{1: 23.0, 2: 9.0, 3: 6.0, 4: 4.0}","{1: 36, 2: 19, 3: 5, 'status': 'SUCCESS'}",SUCCESS
5,"{1: 23.0, 2: 8.0, 3: 6.0, 4: 4.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
6,"{1: 25.0, 2: 8.0, 3: 6.0, 4: 4.0}","{1: 48, 2: 6, 3: 6, 'status': 'SUCCESS'}",SUCCESS
7,"{1: 27.0, 2: 9.0, 3: 7.0, 4: 4.0}","{1: 46, 2: 8, 3: 6, 'status': 'SUCCESS'}",SUCCESS
8,"{1: 31.0, 2: 10.0, 3: 9.0, 4: 5.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
9,"{1: 37.0, 2: 11.0, 3: 10.5, 4: 6.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
10,"{1: 47.0, 2: 12.0, 3: 14.0, 4: 8.0}","{1: 48, 2: 6, 3: 6, 'status': 'SUCCESS'}",SUCCESS
11,"{1: 53.0, 2: 14.0, 3: 16.0, 4: 9.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
12,"{1: 54.5, 2: 14.5, 3: 17.0, 4: 10.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
13,"{1: 48.0, 2: 13.0, 3: 15.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
14,"{1: 50.0, 2: 15.0, 3: 16.0, 4: 9.0}","{1: 40, 2: 10, 3: 10, 'status': 'SUCCESS'}",SUCCESS
15,"{1: 50.0, 2: 15.0, 3: 16.0, 4: 9.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
16,"{1: 49.0, 2: 15.0, 3: 16.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
17,"{1: 49.0, 2: 15.0, 3: 16.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
18,"{1: 52.0, 2: 15.0, 3: 16.0, 4: 8.0}","{1: 46, 2: 6, 3: 8, 'status': 'SUCCESS'}",SUCCESS
19,"{1: 57.0, 2: 16.0, 3: 16.0, 4: 9.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
20,"{1: 55.0, 2: 16.0, 3: 15.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
21,"{1: 52.0, 2: 16.0, 3: 15.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
22,"{1: 51.0, 2: 15.0, 3: 15.0, 4: 8.0}","{1: 46, 2: 8, 3: 6, 'status': 'SUCCESS'}",SUCCESS
23,"{1: 49.0, 2: 15.0, 3: 14.0, 4: 8.0}","{1: 50, 2: 5, 3: 5, 'status': 'SUCCESS'}",SUCCESS
